abseil-cpp 20260107.1-1
accountsservice 26.13.3-1
acl 2.3.2-2
ada 3.4.4-1
adwaita-cursors 50.0-1
adwaita-fonts 50.0-1
adwaita-icon-theme 50.0-1
adwaita-icon-theme-legacy 46.2-3
age 1.3.1-1
alsa-card-profiles 1:1.6.3-1
alsa-lib 1.2.15.3-2
alsa-plugins 1:1.2.12-5
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.15.3-1
amd-ucode 20260309-1
android-tools 35.0.2-25
android-udev 20250525-1
aom 3.13.3-1
appstream 1.1.2-1
arc-gtk-theme 20221218-2
arch-install-scripts 31-1
arch-wiki-docs 20260401-1
archlinux-keyring 20260409-1
arpfox 1.0.0-1
at-spi2-core 2.60.1-1
attr 2.5.2-2
audacity 1:3.7.7-2
audit 4.1.4-2
auto-cpufreq 3.0.0-3
autoconf 2.73-1
automake 1.18.1-1
avahi 1:0.9rc4-1
ayatana-ido 0.10.4-1
base 3-3
base-devel 1-2
bash 5.3.9-1
bash-completion 2.17.0-3
bat 0.26.1-2
bc 1.08.2-1
bind 9.20.22-1
binsider 0.3.2-2
binutils 2.46-1
bison 3.8.2-8
blas 3.12.1-2
bloaty 1.1-23
blueman 2.4.6-2
bluez 5.86-5
bluez-libs 5.86-5
bluez-utils 5.86-5
boost-libs 1.90.0-4
bottom 0.12.3-2
brave-bin 1:1.89.137-1
brltty 6.9.1-1
brotli 1.2.0-1
bubblewrap 0.11.1-1
bzip2 1.0.8-6
c-ares 1.34.6-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.122-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
cairomm-1.16 1.18.0-2
capnproto 1.2.0-2
capstone 5.0.7-2
cblas 3.12.1-2
ccache 4.13.2-1
ccls 0.20250815.1-2
cdparanoia 10.2-9
cfitsio 1:4.6.3-1
clang 22.1.3-1
clang20 20.1.8-1
cmake 4.3.1-1
colord 1.4.8-1
compiler-rt 22.1.3-1
compiler-rt20 20.1.8-1
containerd 2.2.3-1
coreutils 9.10-1
cppdap 1.58.0-3
croc 1:10.4.2-1
cryptsetup 2.8.6-1
curl 8.19.0-1
dav1d 1.5.3-1
db5.3 5.3.28-7
dbus 1.16.2-1
dbus-broker 37-3
dbus-broker-units 37-3
dbus-glib 0.114-1
dconf 0.49.0-1
debugedit 5.2-1
debuginfod 0.194-2
default-cursors 3-1
deno 2.7.12-1
desktop-file-utils 0.28-1
device-mapper 2.03.39-1
dialog 1:1.3_20260107-1
diffutils 3.12-2
direnv 2.37.1-1
discord 1:1.0.138-1
djvulibre 3.5.29-2
dmidecode 3.7-1
dnssec-anchors 20250524-1
docker 1:29.4.0-1
docker-compose 5.1.3-1
dosfstools 4.2-5
double-conversion 3.4.0-1
dtc 1.7.2-5
duckdb-bin 1.4.3-1
duktape 2.7.0-7
dvisvgm 3.6-2
e2fsprogs 1.47.4-1
edk2-aarch64 202602-2
edk2-ovmf 202602-2
edk2-riscv64 202602-2
eigen 5.0.1-2
elementary-icon-theme 8.2.0-1
elfutils 0.194-2
enchant 2.8.15-2
encpipe 0.5-4
engrampa 1.28.2-2
espeak-ng 1.52.0-1
evolution-data-server 3.60.1-1
exiv2 0.28.8-2
exo 4.20.0-2
expat 2.7.5-1
expect 5.45.4-5
extundelete 0.2.4-4
fakeroot 1.37.2-1
fd 10.4.2-1
ffcall 2.5-1
ffmpeg 2:8.1-3
ffmpegthumbnailer 2.3.0-1
fftw 3.3.10-8
file 5.47-3
filesystem 2025.10.12-1
findutils 4.10.0-3
firecracker 1.15.1-1
flac 1.5.0-1
flex 2.6.4-6
fltk1.3 1.3.11-4
fmt 12.1.0-2
fontconfig 2:2.17.1-1
freeglut 3.8.0-1
freetype2 2.14.3-1
frei0r-plugins 3.1.1-1
fribidi 1.0.16-2
fuse-common 3.18.2-1
fuse2 2.9.9-5
fuse3 3.18.2-1
fx 39.2.0-1
fzf 0.71.0-1
garcon 4.20.0-2
gavl 2.0.1-1
gawk 5.4.0-1
gc 8.2.12-1
gcc 15.2.1+r604+g0b99615a8aef-1
gcc-libs 15.2.1+r604+g0b99615a8aef-1
gcr 3.41.2-2
gcr-4 4.4.0.1-1
gd 2.3.3-9
gdb 17.1-3
gdb-common 17.1-3
gdbm 1.26-2
gdk-pixbuf2 2.44.6-2
geocode-glib 3.26.4-6
gettext 1.0-2
gfxstream 0.1.2-2
ghostscript 10.07.0-1
giflib 6.1.3-1
girara 2026.02.04-2
git 2.53.0-1
git-delta 0.19.2-1
git-lfs 3.7.1-1
github-cli 2.90.0-1
gjs 2:1.88.0-1
glava 1.6.3-5
glib-networking 1:2.80.1-1
glib2 2.88.0-1
glib2-devel 2.88.0-1
glibc 2.43+r5+g856c426a7534-1
glibmm-2.68 2.88.0-1
glm 1.0.3-1
glslang 1:1.4.341.0-2
glu 9.0.3-3
glusterfs 1:11.2-2
glycin 2.1.1-1
gmp 6.3.0-3
gnome-keyring 1:50.0-1
gnome-themes-extra 1:3.28-1
gnulib-l10n 20241231-1
gnupg 2.4.9-1
gnutls 3.8.12-2
go 2:1.26.2-1
gobject-introspection 1.86.0-2
gobject-introspection-runtime 1.86.0-2
gopls 0.21.1-2
gperftools 2.18.1-1
gpgme 2.0.1-3
gpgmepp 2.0.0-2
gpm 1.20.7.r38.ge82d1a6-6
gpu-screen-recorder 5.12.5-1
gpu-screen-recorder-gtk 5.7.9-1
graphene 1.10.8-2
graphite 1:1.3.14-6
grep 3.12-2
groff 1.24.1-1
gron 0.7.1-2
gsettings-desktop-schemas 50.1-1
gsettings-system-schemas 50.1-1
gsl 2.8-1
gsm 1.0.24-1
gssdp 1.6.4-1
gst-plugins-bad-libs 1.28.2-1
gst-plugins-base 1.28.2-1
gst-plugins-base-libs 1.28.2-1
gstreamer 1.28.2-1
gtest 1.17.0-2
gtk-engine-murrine 0.98.2-5
gtk-layer-shell 0.10.1-1
gtk-update-icon-cache 1:4.22.2-1
gtk2 2.24.33-5
gtk3 1:3.24.52-1
gtk4 1:4.22.2-1
gtkmm-4.0 4.22.0-1
gtksourceview4 4.8.4-2
guile 3.0.11-1
gum 0.17.0-1
gumbo-parser 0.13.2-1
gupnp 1:1.6.9-1
gupnp-igd 1.6.0-2
gvfs 1.60.0-2
gvfs-mtp 1.60.0-2
gweather-locations 2026.2-1
gzip 1.14-2
harfbuzz 14.1.0-1
harfbuzz-icu 14.2.0-1
helvum 0.5.1-1
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1
highway 1.3.0-2
hiredis 1.3.0-1
htop 3.5.0-1
hwdata 0.406-1
hwloc 2.13.0-1
hyperfine 1.20.0-1
hyphen 2.8.8-6
iana-etc 20260409-1
icu 78.3-1
ijs 0.35-7
imagemagick 7.1.2.19-1
imath 3.2.2-4
imlib2 1.12.6-1
iniparser 4.2.6-2
intel-oneapi-basekit 2025.0.1.46-1
iproute2 7.0.0-1
iptables 1:1.8.13-1
iputils 20250605-1
iso-codes 4.20.1-1
iw 6.17-1
jansson 2.15.0-1
jasper 4.2.9-1
java-environment-common 3-6
java-runtime-common 3-6
jbig2dec 0.20-2
jbigkit 2.1-8
jdk-openjdk 26.u35-1
jemalloc 1:5.3.1-1
jo 1.9-3
jq 1.8.1-2
js140 140.10.2-1
json-c 0.18-2
json-glib 1.10.8-1
jsoncpp 1.9.6-3
kbd 2.9.0-1
kcolorscheme 6.25.0-1
kconfig 6.25.0-1
kcoreaddons 6.25.0-1
kcrash 6.25.0-1
kdbusaddons 6.25.0-1
keyd 2.6.0-5
keyutils 1.6.3-4
kguiaddons 6.25.0-1
ki18n 6.25.0-1
kitty 0.46.2-1
kitty-shell-integration 0.46.2-1
kitty-terminfo 0.46.2-1
kmod 34.2-1
knotifications 6.25.0-1
krb5 1.21.3-2
kvantum 1.1.6-1
kvantum-qt5 1.1.6-1
kwallet 6.25.0-1
kwidgetsaddons 6.25.0-1
kwindowsystem 6.25.0-1
l-smash 2.14.5-4
ladspa 1.17-7
lame 3.101.r6531-1
lapack 3.12.1-2
layer-shell-qt 6.6.4-1
lcms2 2.18-1
leancrypto 1.7.2-1
leptonica 1.87.0-1
less 1:692-1
level-zero-loader 1.28.0-1
lib32-alsa-lib 1.2.15.3-1
lib32-alsa-plugins 1.2.12-1
lib32-brotli 1.1.0-1
lib32-bzip2 1.0.8-4
lib32-curl 8.19.0-1
lib32-dbus 1.16.2-1
lib32-e2fsprogs 1.47.4-1
lib32-expat 2.7.5-1
lib32-fontconfig 2:2.17.1-1
lib32-freetype2 2.14.3-1
lib32-gcc-libs 15.2.1+r604+g0b99615a8aef-1
lib32-glib2 2.88.0-1
lib32-glibc 2.43+r5+g856c426a7534-1
lib32-gmp 6.3.0-2
lib32-gnutls 3.8.12-1
lib32-icu 78.3-1
lib32-json-c 0.18-2
lib32-keyutils 1.6.3-4
lib32-krb5 1.21.3-1
lib32-libdisplay-info 0.3.0-1
lib32-libdrm 2.4.131-1
lib32-libelf 0.194-1
lib32-libffi 3.5.2-1
lib32-libgcrypt 1.12.2-1
lib32-libglvnd 1.7.0-1
lib32-libgpg-error 1.59-1
lib32-libidn2 2.3.8-1
lib32-libldap 2.6.13-1
lib32-libnghttp2 1.68.1-1
lib32-libnghttp3 1.15.0-1
lib32-libngtcp2 1.22.1-1
lib32-libnm 1.56.0-1
lib32-libpciaccess 0.19-1
lib32-libpipewire 1:1.6.3-1
lib32-libpng 1.6.58-1
lib32-libpsl 0.21.5-1
lib32-libssh2 1.11.1-1
lib32-libtasn1 4.21.0-1
lib32-libunistring 1.3-1
lib32-libva 2.22.0-1
lib32-libx11 1.8.13-1
lib32-libxau 1.0.12-1
lib32-libxcb 1.17.0-1
lib32-libxcrypt 4.5.2-1
lib32-libxcrypt-compat 4.5.2-1
lib32-libxdmcp 1.1.5-1
lib32-libxext 1.3.7-1
lib32-libxfixes 6.0.1-2
lib32-libxinerama 1.1.6-1
lib32-libxml2 2.15.2-1
lib32-libxshmfence 1.3.3-1
lib32-libxss 1.2.4-2
lib32-libxxf86vm 1.1.5-2
lib32-llvm-libs 1:22.1.3-1
lib32-lm_sensors 1:3.6.2-2
lib32-mesa 1:26.0.4-1
lib32-ncurses 6.6-2
lib32-nettle 3.10.2-1
lib32-nspr 4.38.2-1
lib32-nss 3.122-1
lib32-openssl 1:3.6.2-1
lib32-p11-kit 0.26.2-1
lib32-pcre2 10.47-1
lib32-pipewire 1:1.6.3-1
lib32-spirv-tools 1:1.4.341.0-1
lib32-sqlite 3.53.0-2
lib32-systemd 260.1-1
lib32-util-linux 2.42-1
lib32-vulkan-icd-loader 1.4.341.0-1
lib32-vulkan-mesa-implicit-layers 1:26.0.4-1
lib32-vulkan-radeon 1:26.0.4-1
lib32-wayland 1.24.0-1
lib32-xcb-util-keysyms 0.4.1-2
lib32-xz 5.8.3-1
lib32-zlib 1.3.2-1
lib32-zstd 1.5.7-2
libadwaita 1:1.9.0-1
libaemu 0.1.2-5
libaio 0.3.113-3
libappindicator 12.10.1-1
libarchive 3.8.7-1
libasan 15.2.1+r604+g0b99615a8aef-1
libass 0.17.4-2
libassuan 3.0.0-1
libasyncns 1:0.8+r3+g68cd5af-3
libatasmart 0.19-8
libatomic 15.2.1+r604+g0b99615a8aef-1
libavc1394 0.5.4-7
libavif 1.4.1-1
libayatana-appindicator 0.5.94-1
libayatana-indicator 0.9.4-1
libb2 0.98.1-3
libblake3 1.8.4-1
libblockdev 3.4.0-3
libblockdev-crypto 3.4.0-3
libblockdev-fs 3.4.0-3
libblockdev-loop 3.4.0-3
libblockdev-mdraid 3.4.0-3
libblockdev-nvme 3.4.0-3
libblockdev-part 3.4.0-3
libblockdev-smart 3.4.0-3
libblockdev-swap 3.4.0-3
libbluray 1.4.1-1
libbpf 1.6.2-1
libbs2b 3.1.0-10
libbsd 0.12.2-2
libbytesize 2.12-3
libcaca 0.99.beta20-7
libcacard 2.8.1-1
libcamera 0.7.0-3
libcamera-ipa 0.7.0-3
libcanberra 1:0.30+r2+gc0620e4-6
libcap 2.78-1
libcap-ng 0.9.3-1
libcbor 0.14.0-1
libcdio 2.3.0-1
libcdio-paranoia 10.2+2.0.2-2
libcgif 0.5.3-1
libcloudproviders 0.4.0-1
libcolord 1.4.8-1
libcups 2:2.4.17-1
libdaemon 0.14-6
libdatachannel 0.24.2-1
libdatrie 0.2.14-1
libdbusmenu-glib 18.10.20180917-1
libdbusmenu-gtk3 18.10.20180917-1
libdc1394 2.2.7-2
libde265 1.0.18-1
libdecor 0.2.5-1
libdeflate 1.25-1
libdisplay-info 0.3.0-1
libdovi 3.3.2-1
libdrm 2.4.131-1
libdvdnav 7.0.0-1
libdvdread 7.0.1-1
libebur128 1.2.6-2
libedit 20251016_3.1-1
libei 1.5.0-1
libelf 0.194-2
libepoxy 1.5.10-3
libev 4.33-5
libevdev 1.13.6-1
libevent 2.1.12-5
libexif 0.6.26-1
libfabric 2.5.1-1
libfdk-aac 2.0.3-2
libffi 3.5.2-1
libfontenc 1.1.9-1
libfreeaptx 0.2.2-1
libfyaml 0.9.6-2
libgcc 15.2.1+r604+g0b99615a8aef-1
libgcrypt 1.12.2-1
libgfortran 15.2.1+r604+g0b99615a8aef-1
libgirepository 1.86.0-2
libgit2 1:1.9.2-3
libglvnd 1.7.0-3
libgoa 3.58.1-1
libgomp 15.2.1+r604+g0b99615a8aef-1
libgpg-error 1.59-1
libgtop 2.41.3-2
libgudev 238-3
libgusb 0.4.9-2
libgweather-4 4.6.0-1
libheif 1.21.2-2
libical 3.0.20-3
libice 1.1.2-1
libid3tag 0.16.4-1
libidn 1.43-1
libidn2 2.3.8-1
libiec61883 1.2.0-9
libimagequant 4.4.1-1
libimobiledevice 1.4.0-2
libimobiledevice-glue 1.3.2-1
libinih 62-2
libinput 1.31.1-1
libiscsi 1.20.3-1
libisl 0.27-1
libjpeg-turbo 3.1.4.1-1
libjuice 1.7.0-1
libjxl 0.11.2-2
libkeybinder3 0.3.2-5
libksba 1.6.8-1
liblc3 1.1.3-2
libldac 2.0.2.3-3
libldap 2.6.13-1
libliftoff 0.5.0-1
liblouis 3.37.0-1
liblqr 0.4.3-1
liblsan 15.2.1+r604+g0b99615a8aef-1
libmad 0.15.1b-10
libmakepkg-dropins 20-1
libmanette 0.2.13-2
libmaxminddb 1.13.3-1
libmd 1.1.0-2
libmicrohttpd 1.0.5-1
libmng 2.0.3-4
libmnl 1.0.5-2
libmodplug 0.8.9.0-7
libmpc 1.4.1-1
libmspack 1:1.11-2
libmtp 1.1.23-1
libmupdf 1.27.2-2
libmysofa 1.3.4-1
libnet 2:1.3-1
libnetfilter_conntrack 1.0.9-2
libnfnetlink 1.0.2-2
libnfs 6.0.2-5
libnftnl 1.3.1-1
libnghttp2 1.68.1-1
libnghttp3 1.15.0-1
libngtcp2 1.22.1-1
libnice 0.1.23-1
libnl 3.12.0-1
libnm 1.56.0-1
libnotify 0.8.8-1
libnsl 2.0.1-1
libnvme 1.16.1-3
libobjc 15.2.1+r604+g0b99615a8aef-1
libogg 1.3.6-1
libopenmpt 0.8.6-1
libp11-kit 0.26.2-1
libpaper 2.2.7-1
libpcap 1.10.6-1
libpciaccess 0.19-1
libpeas-2 2.2.1-1
libpfm 4.13.0+r83+g91970fe-1
libpgm 5.3.128-4
libphonenumber 1:9.0.30-1
libpipeline 1.5.8-1
libpipewire 1:1.6.3-1
libplacebo 7.360.1-1
libplist 2.7.0-3
libpng 1.6.58-1
libportal 0.9.1-3
libportal-gtk4 0.9.1-3
libproxy 0.5.12-1
libpsl 0.21.5-2
libptytty 2.0-6
libpulse 17.0+r98+gb096704c0-1
libqalculate 5.10.0-1
libquadmath 15.2.1+r604+g0b99615a8aef-1
libraqm 0.10.5-1
libraw 0.22.1-1
libraw1394 2.1.2-4
librsvg 2:2.62.1-1
librsync 1:2.3.4-2
libsamplerate 0.2.2-3
libsasl 2.1.28-5
libsbsms 2.3.0-6
libseccomp 2.6.0-1
libsecret 0.21.7-1
libsigc++-3.0 3.8.0-1
libsigsegv 2.15-1
libsixel 1.10.5-1
libslirp 4.9.1-1
libsm 1.2.6-1
libsndfile 1.2.2-4
libsodium 1.0.22-1
libsonic 0.2.0-2
libsoup3 3.6.6-2
libsoxr 0.1.3-4
libspeechd 0.12.1-3
libsrtp 1:2.8.0-1
libssh 0.12.0-1
libssh2 1.11.1-1
libstdc++ 15.2.1+r604+g0b99615a8aef-1
libstemmer 3.0.1-1
libsynctex 2026.0-1
libsysprof-capture 50.0-1
libtasn1 4.21.0-1
libtatsu 1.0.5-1
libthai 0.1.30-1
libtheora 1.2.0-1
libtiff 4.7.1-2
libtirpc 1.3.7-1
libtool 2.6.0-4
libtraceevent 1:1.9.0-1
libtracefs 1.8.3-1
libtsan 15.2.1+r604+g0b99615a8aef-1
libubsan 15.2.1+r604+g0b99615a8aef-1
libunibreak 7.0-1
libunistring 1.4.1-1
libunwind 1.8.2-1
liburcu 0.15.6-1
liburing 2.14-1
libusb 1.0.29-1
libusbmuxd 2.1.1-2
libutempter 1.2.3-1
libuv 1.52.1-1
libva 2.23.0-1
libvdpau 1.5-4
libverto 0.3.2-6
libvips 8.18.2-1
libvncserver 0.9.15-1
libvorbis 1.3.7-4
libvpl 2.16.0-2
libvpx 1.16.0-3
libwacom 2.18.0-2
libwebp 1.6.0-2
libwebsockets 4.5.8-1
libwireplumber 0.5.14-1
libwnck3 43.3-1
libx11 1.8.13-1
libxau 1.0.12-1
libxaw 1.0.16-2
libxcb 1.17.0-1
libxcomposite 0.4.7-1
libxcrypt 4.5.2-1
libxcrypt-compat 4.5.2-1
libxcursor 1.2.3-1
libxcvt 0.1.3-1
libxdamage 1.1.7-1
libxdmcp 1.1.5-2
libxdp 1.6.3-1
libxext 1.3.7-1
libxfce4ui 4.20.2-1
libxfce4util 4.20.1-1
libxfce4windowing 4.20.5-3
libxfixes 6.0.2-1
libxfont2 2.0.7-1
libxft 2.3.9-1
libxi 1.8.2-1
libxinerama 1.1.6-1
libxkbcommon 1.13.1-1
libxkbcommon-x11 1.13.1-1
libxkbfile 1.2.0-1
libxklavier 5.4-7
libxml2 2.15.2-1
libxmlb 0.3.26-1
libxmu 1.3.1-1
libxnvctrl 595.58.03-1
libxpm 3.5.18-1
libxpresent 1.0.2-1
libxrandr 1.5.5-1
libxrender 0.9.12-1
libxres 1.2.3-1
libxshmfence 1.3.3-1
libxslt 1.1.45-2
libxss 1.2.5-1
libxt 1.3.1-1
libxtst 1.2.5-1
libxv 1.0.13-1
libxxf86vm 1.1.7-1
libyaml 0.2.5-3
libyuv r2426+464c51a03-1
licenses 20240728-1
lighttpd 1.4.82-2
likwid 5.5.1-1
lilv 0.26.4-1
linux 6.19.11.arch1-1
linux-api-headers 6.19-1
linux-firmware 20260309-1
linux-firmware-amdgpu 20260309-1
linux-firmware-atheros 20260309-1
linux-firmware-broadcom 20260309-1
linux-firmware-cirrus 20260309-1
linux-firmware-intel 20260309-1
linux-firmware-mediatek 20260309-1
linux-firmware-nvidia 20260309-1
linux-firmware-other 20260309-1
linux-firmware-radeon 20260309-1
linux-firmware-realtek 20260309-1
linux-firmware-whence 20260309-1
lld 22.1.3-1
lld20 20.1.8-1
llhttp 9.3.1-1
llvm 22.1.3-1
llvm-libs 22.1.3-1
llvm20-libs 20.1.8-1
llvm21-libs 21.1.8-1
lm_sensors 1:3.6.2-1
lmdb 0.9.35-1
lsb-release 2.0.r55.a25a4fc-1
lshw B.02.20-3
lsof 4.99.6-1
lua 5.5.0-2
lua-language-server 3.18.2-1
lua54 5.4.8-6
luajit 2.1.1774896198+18b087c-1
lv2 1.18.10-2
lz4 1:1.10.0-2
lzo 2.10-5
m4 1.4.21-2
mailcap 2.1.54-2
make 4.4.1-3
man-db 2.13.1-1
man-pages 6.17-1
marksman-bin 20241218-1
mbedtls 3.6.5-1
mbw 2.0-1
md4c 0.5.2-2
mdadm 4.6-1
mesa 1:26.0.4-1
meson 1.10.2-1
miller 6.17.0-1
minizip 1:1.3.2-3
mkinitcpio 40-4
mkinitcpio-busybox 1.36.1-1
mlt 7.36.1-5
movit 1.7.2-1
mpdecimal 4.0.1-3
mpfr 4.2.2-1
mpg123 1.33.4-1
mpv 1:0.41.0-3
mtdev 1.1.7-1
mujs 1.3.9-1
multipath-tools 0.14.3-1
mupdf-tools 1.27.2-2
mypy 1.20.0-1
ncurses 6.6-2
ndctl 84-1
neofetch 7.1.0-2
nettle 3.10.2-1
nftables 1:1.1.6-3
ninja 1.13.2-3
nmap 7.99-2
nodejs 25.9.0-1
noto-fonts 1:2026.04.01-1
noto-fonts-emoji 1:2.051-1
npth 1.8-1
nspr 4.38.2-1
nss 3.122-1
numactl 2.0.19-1
obs-studio 32.1.1-2
ocl-icd 2.3.4-1
ollama 0.21.0-1
onetbb 2022.3.0-4
oniguruma 6.9.10-1
openal 1.25.1-1
openblas 0.3.32-2
openbsd-netcat 1.238_1-1
opencore-amr 0.1.6-2
opencv 4.13.0-6
openexr 3.4.10-1
openh264 2.6.0-2
openjpeg2 2.5.4-1
openjph 0.27.0-1
openmpi 5.0.10-2
openpmix 5.0.10-1
openssh 10.3p1-1
openssl 3.6.2-1
openucx 1.20.0-3
opus 1.6.1-1
opusfile 0.12-4
orc 0.4.42-1
p11-kit 0.26.2-1
pacman 7.1.0.r9.g54d9411-1
pacman-mirrorlist 20260406-1
pam 1.7.2-2
pambase 20250719-1
pandoc-bin 3.9.0.2-1
pango 1:1.57.1-1
pangomm-2.48 2.56.1-1
parallel 20260322-1
parted 3.7-1
patch 2.8-1
pavucontrol 1:6.2-1
pcaudiolib 1.3-1
pciutils 3.15.0-1
pcre 8.45-4
pcre2 10.47-1
pcsclite 2.4.1-1
pdfcpu-bin 0.11.0-1
perf 7.0-3
perl 5.42.2-1
perl-error 0.17030-3
perl-file-homedir 1.006-8
perl-file-which 1.27-8
perl-mailtools 2.22-3
perl-timedate 2.35-1
perl-tk 804.036-8
perl-yaml-tiny 1.76-3
pinentry 1.3.2-2
pipewire 1:1.6.3-1
pipewire-audio 1:1.6.3-1
pipewire-jack 1:1.6.3-1
pipewire-pulse 1:1.6.3-1
pixman 0.46.4-1
pkgconf 2.5.1-1
playerctl 2.4.1-5
polkit 127-3
polkit-gnome 0.105-12
poppler 26.04.0-1
poppler-data 0.4.12-2
poppler-glib 26.04.0-1
popt 1.19-2
portaudio 1:19.7.0-4
portmidi 1:2.0.8-1
portsmf 234-3
potrace 1.16-5
presenterm 0.16.1-1
procps-ng 4.0.6-1
protobuf 34.1-1
prrte 3.0.13-1
psmisc 23.7-2
pv 1.10.5-1
python 3.14.4-1
python-attrs 26.1.0-1
python-autocommand 2.2.2-9
python-beautifulsoup4 4.14.3-2
python-black 26.3.1-1
python-brotli 1.2.0-1
python-build 1.4.3-1
python-cairo 1.29.0-2
python-certifi 2026.02.25-1
python-cffi 2.0.0-2
python-chardet 6.0.0.post1-1
python-charset-normalizer 3.4.7-1
python-click 8.3.2-1
python-colorama 0.4.6-6
python-cryptography 46.0.7-1
python-cssselect2 0.9.0-1
python-dateutil 2.9.0-8
python-dbus 1.4.0-2
python-distro 1.9.0-4
python-docstring-to-markdown 0.17-2
python-editables 0.6-1
python-filelock 3.26.0-1
python-fonttools 4.62.1-1
python-gobject 3.56.2-1
python-hatchling 1.29.0-1
python-html5lib 1.1-17
python-hypothesis 6.151.11-1
python-idna 3.11-2
python-importlib-metadata 9.0.0-1
python-iniconfig 2.3.0-1
python-installer 1.0.0-1
python-isort 8.0.1-1
python-jaraco.collections 5.1.0-3
python-jaraco.context 6.1.2-1
python-jaraco.functools 4.1.0-3
python-jaraco.text 4.0.0-4
python-jedi 0.19.2-4
python-jeepney 0.9.0-3
python-librt 0.8.1-1
python-lsp-black 2.0.0-5
python-lsp-isort 1:0.2.1-1
python-lsp-jsonrpc 1.1.2-6
python-lsp-server 1.14.0-2
python-mako 1.3.10-4
python-markdown 3.10.2-1
python-markupsafe 3.0.3-1
python-more-itertools 11.0.2-1
python-mypy_extensions 1.1.0-2
python-numpy 2.4.4-1
python-orjson 3.11.8-1
python-packaging 26.1-1
python-parso 1:0.8.6-1
python-pathspec 1.0.4-1
python-pexpect 4.9.0-7
python-pillow 12.2.0-1
python-pip 26.0.1-1
python-pkg_resources 81.0.0-1
python-platformdirs 4.9.6-1
python-pluggy 1.6.0-3
python-psutil 7.2.2-1
